タイムスタンプ,ユーザー名,操作種別,テーブル名,影響行数,実行時間(ms),接続元IP,セッションID
2025-09-03 00:35:35,app_user,SELECT,orders,898,3175,192.168.3.28,SID51413
2025-09-03 00:39:53,app_user,INSERT,orders,89,4619,192.168.3.44,SID83392
2025-09-03 01:16:51,app_user,SELECT,orders,740,4708,192.168.5.235,SID15876
2025-09-03 01:28:01,analyst_user,SELECT,order_details,436,4462,192.168.3.3,SID47896
2025-09-03 02:24:59,batch_user,SELECT,orders,827,4160,192.168.6.26,SID53146
2025-09-03 04:47:55,report_user,SELECT,payments,16,1353,192.168.5.114,SID48763
2025-09-03 05:36:12,batch_user,UPDATE,departments,46,2601,192.168.2.171,SID52568
2025-09-03 05:54:25,admin_user,SELECT,accounts,912,4801,192.168.1.227,SID84027
2025-09-03 06:17:13,report_user,DELETE,order_details,7,96,192.168.7.234,SID19663
2025-09-03 06:21:04,app_user,SELECT,customer_master,856,2065,192.168.5.190,SID13318
2025-09-03 06:24:46,analyst_user,SELECT,payments,809,1841,192.168.10.82,SID38789
2025-09-03 07:48:34,report_user,SELECT,accounts,496,3059,192.168.10.22,SID19000
2025-09-03 09:09:54,app_user,SELECT,sales_transactions,117,1827,192.168.1.90,SID88277
2025-09-03 10:01:02,analyst_user,SELECT,employees,237,2983,192.168.2.200,SID98425
2025-09-03 10:36:33,app_user,SELECT,inventory,794,2486,192.168.9.138,SID74341
2025-09-03 11:10:57,admin_user,SELECT,accounts,293,762,192.168.7.28,SID40835
2025-09-03 11:33:12,admin_user,SELECT,accounts,313,3808,192.168.7.138,SID18263
2025-09-03 12:26:11,analyst_user,SELECT,inventory,958,3414,192.168.2.47,SID66058
2025-09-03 14:26:50,batch_user,UPDATE,order_details,8,3441,192.168.6.251,SID72292
2025-09-03 16:25:45,report_user,INSERT,orders,96,4988,192.168.10.238,SID51762
2025-09-03 18:52:31,report_user,SELECT,departments,464,21,192.168.5.108,SID82701
2025-09-03 18:56:13,report_user,UPDATE,accounts,1,3557,192.168.3.148,SID86587
2025-09-03 19:40:45,report_user,SELECT,accounts,319,1310,192.168.7.20,SID77728
2025-09-03 20:00:32,app_user,UPDATE,inventory,1,4151,192.168.6.112,SID67502
2025-09-03 20:19:54,report_user,SELECT,inventory,14,13,192.168.3.34,SID38462
2025-09-03 22:06:14,batch_user,SELECT,orders,628,1721,192.168.4.97,SID60204
2025-09-03 22:18:51,admin_user,INSERT,product_master,19,548,192.168.2.198,SID97464
2025-09-03 22:27:19,app_user,UPDATE,employees,25,1623,192.168.4.106,SID26781
2025-09-03 22:52:48,batch_user,SELECT,order_details,903,3284,192.168.3.224,SID56065
2025-09-04 01:04:40,analyst_user,DELETE,orders,9,2154,192.168.2.33,SID20629
2025-09-04 03:21:17,batch_user,SELECT,sales_transactions,483,2916,192.168.4.117,SID92795
2025-09-04 03:36:59,analyst_user,SELECT,orders,527,2556,192.168.2.120,SID69851
2025-09-04 04:13:31,batch_user,SELECT,customer_master,965,1715,192.168.1.3,SID17261
2025-09-04 04:14:01,admin_user,SELECT,inventory,480,2843,192.168.6.185,SID37158
2025-09-04 04:20:58,analyst_user,SELECT,accounts,631,2427,192.168.4.25,SID20235
2025-09-04 04:37:07,admin_user,UPDATE,inventory,24,4134,192.168.6.156,SID24305
2025-09-04 05:14:47,batch_user,DELETE,employees,8,1067,192.168.7.140,SID86094
2025-09-04 06:13:36,report_user,SELECT,order_details,910,3834,192.168.6.192,SID67243
2025-09-04 08:21:46,admin_user,UPDATE,order_details,42,1256,192.168.1.61,SID47373
2025-09-04 09:46:01,report_user,SELECT,departments,830,2453,192.168.4.93,SID31082
2025-09-04 10:40:29,admin_user,UPDATE,departments,3,3433,192.168.9.53,SID90367
2025-09-04 13:17:40,report_user,UPDATE,customer_master,10,1276,192.168.5.37,SID23866
2025-09-04 14:26:21,analyst_user,DELETE,order_details,3,1509,192.168.8.84,SID58604
2025-09-04 14:38:29,batch_user,UPDATE,accounts,29,1550,192.168.10.151,SID29957
2025-09-04 15:04:48,app_user,SELECT,departments,175,976,192.168.6.33,SID54794
2025-09-04 21:36:25,analyst_user,INSERT,accounts,8,4974,192.168.4.175,SID35332
2025-09-04 23:18:24,batch_user,SELECT,departments,688,370,192.168.4.179,SID91095
2025-09-04 23:47:05,app_user,SELECT,inventory,289,437,192.168.8.198,SID90373
2025-09-05 01:27:25,app_user,SELECT,customer_master,630,2845,192.168.7.46,SID48758
2025-09-05 03:13:45,batch_user,SELECT,order_details,742,2152,192.168.10.103,SID40496
2025-09-05 04:10:27,batch_user,DELETE,orders,4,218,192.168.1.165,SID59425
2025-09-05 04:47:40,analyst_user,UPDATE,payments,46,3973,192.168.2.248,SID54548
2025-09-05 05:04:39,batch_user,SELECT,sales_transactions,35,3669,192.168.5.192,SID94202
2025-09-05 06:16:07,analyst_user,SELECT,orders,842,1659,192.168.8.42,SID23254
2025-09-05 07:15:51,batch_user,SELECT,sales_transactions,182,2747,192.168.8.235,SID50499
2025-09-05 09:37:26,analyst_user,SELECT,sales_transactions,532,4880,192.168.7.197,SID97157
2025-09-05 10:34:46,admin_user,UPDATE,departments,30,1091,192.168.8.71,SID56087
2025-09-05 11:57:25,report_user,SELECT,sales_transactions,573,2793,192.168.9.42,SID78509
2025-09-05 12:06:13,admin_user,SELECT,product_master,369,4763,192.168.10.159,SID45641
2025-09-05 12:14:35,batch_user,DELETE,orders,3,2019,192.168.9.175,SID87304
2025-09-05 12:56:26,batch_user,SELECT,orders,506,1185,192.168.2.58,SID37657
2025-09-05 13:25:23,report_user,INSERT,departments,78,1948,192.168.8.27,SID87928
2025-09-05 15:37:33,analyst_user,SELECT,customer_master,332,957,192.168.7.188,SID15418
2025-09-05 15:38:25,admin_user,INSERT,order_details,83,1673,192.168.8.208,SID74321
2025-09-05 18:10:29,app_user,SELECT,order_details,841,115,192.168.9.88,SID59899
2025-09-05 18:28:34,batch_user,SELECT,employees,820,1017,192.168.6.177,SID86492
2025-09-05 18:45:38,analyst_user,INSERT,employees,66,1869,192.168.6.1,SID96188
2025-09-05 18:58:34,report_user,SELECT,customer_master,526,2919,192.168.8.135,SID14504
2025-09-05 19:24:50,analyst_user,SELECT,sales_transactions,567,915,192.168.8.221,SID43083
2025-09-05 19:30:42,report_user,DELETE,customer_master,1,2101,192.168.4.191,SID57900
2025-09-05 20:02:22,analyst_user,UPDATE,customer_master,33,3867,192.168.1.98,SID28187
2025-09-06 01:12:06,report_user,SELECT,orders,0,3184,192.168.8.208,SID77254
2025-09-06 01:16:13,admin_user,SELECT,payments,511,4083,192.168.2.11,SID44709
2025-09-06 04:02:13,app_user,SELECT,employees,950,40,192.168.10.158,SID22180
2025-09-06 04:55:34,report_user,INSERT,order_details,19,2040,192.168.3.125,SID73321
2025-09-06 06:03:34,app_user,DELETE,sales_transactions,7,4355,192.168.5.102,SID81980
2025-09-06 06:17:57,analyst_user,SELECT,sales_transactions,436,823,192.168.3.131,SID86538
2025-09-06 07:09:57,analyst_user,DELETE,customer_master,10,1232,192.168.8.162,SID96314
2025-09-06 07:24:29,analyst_user,INSERT,customer_master,44,4824,192.168.4.48,SID60567
2025-09-06 08:12:47,report_user,SELECT,payments,968,2131,192.168.6.170,SID22572
2025-09-06 10:08:00,report_user,SELECT,accounts,800,3099,192.168.9.98,SID60890
2025-09-06 10:25:55,report_user,SELECT,product_master,506,3212,192.168.8.69,SID90912
2025-09-06 10:53:53,batch_user,SELECT,employees,609,3460,192.168.8.186,SID44727
2025-09-06 11:31:27,admin_user,UPDATE,departments,23,2703,192.168.5.70,SID50475
2025-09-06 12:10:13,analyst_user,SELECT,departments,273,494,192.168.4.41,SID88499
2025-09-06 12:11:47,report_user,INSERT,sales_transactions,34,764,192.168.1.68,SID38293
2025-09-06 12:56:59,batch_user,SELECT,product_master,51,3555,192.168.2.31,SID49245
2025-09-06 14:14:18,report_user,INSERT,customer_master,36,2237,192.168.1.37,SID29202
2025-09-06 15:01:38,app_user,SELECT,sales_transactions,538,2413,192.168.1.146,SID34596
2025-09-06 16:29:57,report_user,SELECT,order_details,914,2106,192.168.1.11,SID23918
2025-09-06 17:17:29,admin_user,SELECT,departments,190,1138,192.168.10.81,SID92504
2025-09-06 18:38:50,batch_user,SELECT,inventory,421,1593,192.168.7.137,SID24963
2025-09-06 20:04:17,batch_user,INSERT,accounts,22,361,192.168.2.248,SID54005
2025-09-06 20:52:10,app_user,DELETE,inventory,2,2774,192.168.3.122,SID57643
2025-09-06 20:58:40,batch_user,SELECT,employees,777,1822,192.168.4.20,SID57281
2025-09-06 21:30:43,analyst_user,SELECT,product_master,641,3334,192.168.3.211,SID46814
2025-09-06 21:47:31,analyst_user,SELECT,accounts,795,4505,192.168.8.228,SID46031
2025-09-06 22:24:22,app_user,SELECT,accounts,421,1584,192.168.1.41,SID83762
2025-09-06 22:30:35,analyst_user,SELECT,orders,548,4695,192.168.2.251,SID81787
2025-09-06 23:01:56,admin_user,SELECT,orders,886,1594,192.168.4.128,SID56777
2025-09-07 01:18:37,analyst_user,SELECT,sales_transactions,744,436,192.168.6.3,SID25226
2025-09-07 04:19:30,app_user,SELECT,inventory,313,2896,192.168.5.252,SID36003
2025-09-07 04:57:28,analyst_user,INSERT,departments,14,1543,192.168.5.34,SID28634
2025-09-07 05:18:53,report_user,SELECT,orders,134,863,192.168.9.62,SID38836
2025-09-07 05:58:15,batch_user,SELECT,accounts,520,1913,192.168.6.238,SID60212
2025-09-07 06:21:51,batch_user,SELECT,order_details,518,1275,192.168.7.112,SID83328
2025-09-07 07:05:28,app_user,SELECT,product_master,263,2662,192.168.4.63,SID51282
2025-09-07 07:49:27,app_user,SELECT,departments,723,946,192.168.1.125,SID65945
2025-09-07 08:49:18,batch_user,SELECT,accounts,938,3421,192.168.10.76,SID63497
2025-09-07 09:08:11,analyst_user,UPDATE,employees,49,4911,192.168.2.183,SID84083
2025-09-07 11:04:49,batch_user,SELECT,employees,172,3731,192.168.1.51,SID94567
2025-09-07 11:55:49,batch_user,SELECT,customer_master,496,1935,192.168.5.87,SID41137
2025-09-07 14:24:00,report_user,SELECT,employees,202,2583,192.168.1.72,SID23860
2025-09-07 14:59:53,app_user,SELECT,product_master,834,4704,192.168.10.214,SID30862
2025-09-07 16:59:50,report_user,INSERT,sales_transactions,49,2587,192.168.3.142,SID84278
2025-09-07 17:23:24,app_user,INSERT,payments,68,304,192.168.8.60,SID63194
2025-09-07 18:03:38,admin_user,SELECT,departments,33,1948,192.168.1.187,SID11732
2025-09-07 19:31:46,report_user,SELECT,employees,733,735,192.168.2.25,SID41357
2025-09-07 19:38:55,admin_user,SELECT,product_master,899,1639,192.168.1.226,SID38382
2025-09-07 20:03:55,report_user,SELECT,inventory,291,178,192.168.4.146,SID45608
2025-09-07 20:27:34,analyst_user,SELECT,order_details,791,3225,192.168.6.121,SID55052
2025-09-07 21:14:49,batch_user,SELECT,sales_transactions,720,3927,192.168.2.151,SID20365
2025-09-07 23:45:12,app_user,SELECT,customer_master,658,1630,192.168.6.232,SID94047
2025-09-07 23:56:33,batch_user,SELECT,customer_master,464,4956,192.168.6.6,SID81343
2025-09-08 00:46:04,report_user,SELECT,product_master,710,3082,192.168.2.220,SID86973
2025-09-08 00:51:44,app_user,SELECT,accounts,554,2373,192.168.4.129,SID46049
2025-09-08 03:04:57,admin_user,INSERT,customer_master,97,285,192.168.7.77,SID49293
2025-09-08 05:29:28,app_user,SELECT,orders,527,970,192.168.6.56,SID28692
2025-09-08 07:16:45,admin_user,SELECT,sales_transactions,228,2795,192.168.2.72,SID82004
2025-09-08 08:29:35,analyst_user,SELECT,sales_transactions,697,193,192.168.2.122,SID58068
2025-09-08 09:32:18,analyst_user,SELECT,order_details,206,2187,192.168.9.21,SID95911
2025-09-08 09:57:31,analyst_user,SELECT,accounts,703,2973,192.168.1.8,SID39814
2025-09-08 13:23:32,app_user,SELECT,orders,807,1290,192.168.5.161,SID46417
2025-09-08 13:54:07,analyst_user,SELECT,accounts,87,4682,192.168.4.64,SID87167
2025-09-08 14:28:58,admin_user,INSERT,customer_master,99,749,192.168.10.133,SID50387
2025-09-08 14:29:02,report_user,SELECT,accounts,124,4551,192.168.4.252,SID94882
2025-09-08 15:45:08,admin_user,INSERT,product_master,2,4197,192.168.9.121,SID62932
2025-09-08 16:11:59,app_user,SELECT,order_details,114,864,192.168.2.102,SID12088
2025-09-08 17:23:22,batch_user,SELECT,inventory,528,528,192.168.7.121,SID99176
2025-09-08 17:45:13,analyst_user,SELECT,orders,113,3803,192.168.10.224,SID37303
2025-09-08 17:55:03,app_user,SELECT,payments,232,4908,192.168.5.14,SID53029
2025-09-08 18:34:15,batch_user,SELECT,product_master,491,3289,192.168.4.170,SID48426
2025-09-08 18:46:28,analyst_user,SELECT,sales_transactions,220,2715,192.168.8.222,SID29823
2025-09-08 18:47:12,app_user,SELECT,departments,876,2424,192.168.10.14,SID30943
2025-09-08 23:06:11,analyst_user,SELECT,accounts,625,2952,192.168.1.254,SID88555
2025-09-09 00:36:57,report_user,SELECT,inventory,664,2991,192.168.2.55,SID93061
2025-09-09 00:37:28,batch_user,SELECT,sales_transactions,100,905,192.168.5.209,SID10112
2025-09-09 00:42:40,admin_user,UPDATE,sales_transactions,21,1149,192.168.7.170,SID66706
2025-09-09 00:54:05,report_user,SELECT,sales_transactions,361,2825,192.168.2.47,SID68073
2025-09-09 01:54:03,report_user,SELECT,employees,245,4427,192.168.8.20,SID14161
2025-09-09 05:02:56,app_user,SELECT,employees,384,2862,192.168.5.41,SID68058
2025-09-09 05:56:54,batch_user,SELECT,inventory,623,4326,192.168.7.158,SID12159
2025-09-09 06:52:22,report_user,SELECT,departments,845,791,192.168.8.235,SID66815
2025-09-09 07:46:06,app_user,SELECT,orders,504,380,192.168.4.80,SID90946
2025-09-09 10:15:49,app_user,SELECT,order_details,503,2082,192.168.3.249,SID38008
2025-09-09 10:22:28,app_user,DELETE,customer_master,1,654,192.168.8.22,SID53827
2025-09-09 11:43:16,analyst_user,SELECT,sales_transactions,947,4536,192.168.6.102,SID10624
2025-09-09 12:57:48,report_user,SELECT,inventory,822,1995,192.168.2.96,SID56836
2025-09-09 16:49:49,report_user,UPDATE,customer_master,25,2211,192.168.1.78,SID29784
2025-09-09 16:53:47,app_user,SELECT,employees,631,1594,192.168.7.197,SID57642
2025-09-09 18:39:44,batch_user,SELECT,product_master,754,4202,192.168.1.24,SID91439
2025-09-09 18:47:39,batch_user,SELECT,sales_transactions,10,3454,192.168.7.193,SID29439
2025-09-09 23:36:13,batch_user,DELETE,inventory,6,2844,192.168.2.183,SID23240
2025-09-10 00:31:47,app_user,SELECT,customer_master,245,1245,192.168.8.220,SID75661
2025-09-10 02:53:02,admin_user,DELETE,payments,8,4127,192.168.9.52,SID55604
2025-09-10 04:48:03,admin_user,SELECT,payments,489,2047,192.168.6.90,SID13194
2025-09-10 05:00:24,batch_user,SELECT,payments,374,853,192.168.6.189,SID67306
2025-09-10 06:09:43,batch_user,INSERT,departments,48,4467,192.168.6.162,SID22567
2025-09-10 06:21:37,batch_user,SELECT,customer_master,642,287,192.168.9.112,SID54770
2025-09-10 07:11:58,admin_user,SELECT,inventory,339,2273,192.168.8.93,SID56718
2025-09-10 07:46:48,batch_user,SELECT,sales_transactions,767,2075,192.168.5.208,SID71346
2025-09-10 08:05:09,app_user,INSERT,accounts,98,4288,192.168.4.76,SID56312
2025-09-10 08:52:48,batch_user,UPDATE,payments,15,2199,192.168.6.142,SID67184
2025-09-10 10:15:59,report_user,SELECT,order_details,646,1983,192.168.5.175,SID47835
2025-09-10 11:08:01,app_user,SELECT,orders,108,3850,192.168.6.91,SID22442
2025-09-10 11:35:30,batch_user,UPDATE,product_master,45,1407,192.168.5.9,SID48456
2025-09-10 11:41:17,analyst_user,SELECT,employees,81,4426,192.168.6.214,SID50543
2025-09-10 12:23:47,analyst_user,INSERT,departments,68,4045,192.168.8.172,SID19174
2025-09-10 12:44:12,report_user,SELECT,employees,227,921,192.168.10.191,SID38367
2025-09-10 18:08:29,batch_user,SELECT,departments,899,1219,192.168.8.83,SID19716
2025-09-10 20:47:29,report_user,SELECT,product_master,242,4377,192.168.8.25,SID27361
2025-09-10 22:10:09,admin_user,INSERT,inventory,2,1443,192.168.4.35,SID63188
2025-09-10 22:50:59,batch_user,SELECT,employees,330,2969,192.168.3.113,SID34296
2025-09-10 23:20:46,report_user,SELECT,employees,747,1612,192.168.5.192,SID83214
2025-09-11 00:10:53,admin_user,UPDATE,orders,37,4222,192.168.2.226,SID41009
2025-09-11 00:19:27,report_user,SELECT,customer_master,453,2720,192.168.4.216,SID63853
2025-09-11 02:12:08,app_user,SELECT,payments,508,893,192.168.7.63,SID86255
2025-09-11 02:32:55,app_user,SELECT,employees,243,3756,192.168.7.74,SID94069
2025-09-11 02:38:59,batch_user,UPDATE,orders,15,3879,192.168.9.73,SID45970
2025-09-11 03:23:00,batch_user,SELECT,order_details,314,297,192.168.7.169,SID15874
2025-09-11 05:06:51,app_user,SELECT,employees,771,4823,192.168.7.52,SID92519
2025-09-11 05:55:24,report_user,SELECT,sales_transactions,159,3553,192.168.3.7,SID34553
2025-09-11 07:21:37,report_user,SELECT,product_master,963,4154,192.168.2.238,SID57340
2025-09-11 08:46:02,app_user,SELECT,sales_transactions,820,4443,192.168.5.188,SID45620
2025-09-11 08:49:29,analyst_user,SELECT,departments,852,2899,192.168.5.217,SID28050
2025-09-11 10:00:30,batch_user,INSERT,accounts,56,3225,192.168.4.149,SID60521
2025-09-11 10:58:57,admin_user,SELECT,customer_master,550,4693,192.168.3.113,SID64910
2025-09-11 12:39:45,admin_user,SELECT,departments,69,762,192.168.5.122,SID93551
2025-09-11 13:33:59,batch_user,SELECT,departments,565,4834,192.168.2.143,SID84380
2025-09-11 13:46:28,app_user,UPDATE,order_details,4,700,192.168.10.119,SID64337
2025-09-11 14:19:49,batch_user,UPDATE,orders,36,3572,192.168.2.23,SID67529
2025-09-11 15:28:15,report_user,UPDATE,inventory,10,4576,192.168.2.95,SID37484
2025-09-11 17:13:00,analyst_user,SELECT,product_master,242,522,192.168.5.241,SID84355
2025-09-11 18:03:29,admin_user,SELECT,sales_transactions,849,4726,192.168.2.39,SID45825
2025-09-11 18:13:00,admin_user,SELECT,customer_master,923,3803,192.168.10.23,SID38030
2025-09-11 19:10:21,batch_user,INSERT,product_master,32,4338,192.168.6.104,SID61680
2025-09-11 19:42:12,report_user,SELECT,customer_master,156,4267,192.168.8.251,SID75168
2025-09-11 19:44:07,report_user,SELECT,payments,554,393,192.168.4.168,SID23309
2025-09-11 22:03:29,app_user,DELETE,product_master,4,3839,192.168.5.173,SID44385
2025-09-11 22:33:15,batch_user,SELECT,departments,751,2938,192.168.1.118,SID38079
2025-09-12 01:08:37,report_user,SELECT,order_details,736,4264,192.168.5.70,SID30995
2025-09-12 02:17:07,admin_user,SELECT,product_master,548,3921,192.168.1.30,SID32990
2025-09-12 04:49:07,batch_user,SELECT,inventory,338,4489,192.168.8.203,SID86416
2025-09-12 05:06:35,analyst_user,SELECT,product_master,303,4128,192.168.1.94,SID74746
2025-09-12 05:37:40,admin_user,SELECT,product_master,174,496,192.168.2.168,SID98875
2025-09-12 06:24:03,analyst_user,SELECT,employees,670,115,192.168.5.89,SID13079
2025-09-12 07:11:21,batch_user,SELECT,employees,646,1231,192.168.7.91,SID19685
2025-09-12 07:19:12,app_user,INSERT,customer_master,50,2054,192.168.9.122,SID62828
2025-09-12 08:17:52,report_user,SELECT,sales_transactions,825,3531,192.168.2.243,SID96490
2025-09-12 08:22:55,report_user,UPDATE,order_details,21,2435,192.168.1.171,SID84001
2025-09-12 08:47:15,report_user,SELECT,accounts,544,2109,192.168.10.143,SID85274
2025-09-12 09:01:59,app_user,SELECT,departments,246,4394,192.168.10.24,SID83595
2025-09-12 09:45:40,admin_user,SELECT,order_details,712,2995,192.168.7.157,SID31144
2025-09-12 09:46:36,admin_user,SELECT,employees,232,1296,192.168.9.14,SID66660
2025-09-12 10:44:43,admin_user,SELECT,product_master,806,1134,192.168.3.19,SID10798
2025-09-12 12:25:13,analyst_user,SELECT,accounts,756,217,192.168.3.185,SID46593
2025-09-12 13:03:25,admin_user,SELECT,employees,60,4359,192.168.4.60,SID49023
2025-09-12 13:50:54,batch_user,UPDATE,sales_transactions,28,4190,192.168.4.148,SID99878
2025-09-12 14:42:08,admin_user,SELECT,orders,936,4238,192.168.9.180,SID54204
2025-09-12 14:58:32,app_user,SELECT,departments,273,967,192.168.3.19,SID57012
2025-09-12 15:18:34,batch_user,SELECT,sales_transactions,23,812,192.168.1.187,SID10960
2025-09-12 16:45:26,analyst_user,SELECT,product_master,466,1999,192.168.7.90,SID20539
2025-09-12 17:10:14,batch_user,SELECT,employees,251,4695,192.168.2.200,SID31632
2025-09-12 19:57:45,batch_user,SELECT,inventory,539,2267,192.168.7.249,SID43984
2025-09-12 20:46:26,report_user,INSERT,order_details,12,409,192.168.5.71,SID59808
2025-09-13 00:54:14,analyst_user,SELECT,orders,890,3268,192.168.3.127,SID31396
2025-09-13 01:12:38,admin_user,SELECT,customer_master,434,4729,192.168.7.113,SID48197
2025-09-13 01:16:21,batch_user,DELETE,departments,3,1476,192.168.9.250,SID16895
2025-09-13 03:41:16,report_user,SELECT,payments,801,4281,192.168.6.12,SID26992
2025-09-13 04:46:53,app_user,DELETE,order_details,7,3891,192.168.6.250,SID79470
2025-09-13 05:11:41,app_user,SELECT,payments,994,53,192.168.10.112,SID15915
2025-09-13 06:41:24,analyst_user,SELECT,payments,952,2350,192.168.1.152,SID71307
2025-09-13 08:06:21,app_user,SELECT,payments,932,778,192.168.9.147,SID34298
2025-09-13 08:44:27,report_user,SELECT,customer_master,828,72,192.168.2.251,SID70000
2025-09-13 10:40:33,app_user,SELECT,employees,874,367,192.168.4.133,SID28279
2025-09-13 12:22:11,app_user,SELECT,sales_transactions,97,97,192.168.2.82,SID79447
2025-09-13 13:10:34,report_user,SELECT,departments,419,3399,192.168.7.202,SID77137
2025-09-13 13:12:59,admin_user,UPDATE,inventory,36,324,192.168.9.86,SID63676
2025-09-13 15:30:54,app_user,SELECT,customer_master,660,2897,192.168.2.143,SID96542
2025-09-13 17:12:22,app_user,SELECT,inventory,416,3129,192.168.4.223,SID33804
2025-09-13 18:43:04,app_user,SELECT,customer_master,750,1760,192.168.4.173,SID38489
2025-09-13 18:48:59,analyst_user,SELECT,departments,626,4787,192.168.7.70,SID58535
2025-09-13 22:11:16,analyst_user,SELECT,order_details,801,3349,192.168.8.143,SID83140
2025-09-13 22:34:10,batch_user,SELECT,accounts,48,2371,192.168.5.141,SID45408
2025-09-13 22:37:09,app_user,SELECT,accounts,117,4043,192.168.4.40,SID75735
2025-09-14 02:38:59,app_user,INSERT,sales_transactions,75,815,192.168.9.238,SID79064
2025-09-14 02:55:19,batch_user,DELETE,employees,7,114,192.168.8.83,SID58431
2025-09-14 04:06:47,report_user,SELECT,payments,790,3720,192.168.6.223,SID68512
2025-09-14 04:33:31,analyst_user,SELECT,employees,927,2323,192.168.6.144,SID66646
2025-09-14 04:39:23,app_user,SELECT,sales_transactions,247,3870,192.168.7.54,SID80768
2025-09-14 07:03:53,admin_user,UPDATE,inventory,23,4303,192.168.4.122,SID86589
2025-09-14 07:16:12,report_user,INSERT,inventory,28,4926,192.168.3.146,SID55037
