バックアップ日,開始時刻,終了時刻,システム名,システム種別,サイズ(GB),所要時間(分),ステータス,バックアップファイル,エラーメッセージ
2025-08-09,02:36:08,03:12:08,prod-db01,PostgreSQL Database,246.91,36,Success,/backup/prod-db01/20250809_023608.bak,
2025-08-09,02:20:48,02:53:48,prod-db02,MySQL Database,211.95,33,Success,/backup/prod-db02/20250809_022048.bak,
2025-08-09,03:34:30,03:52:30,prod-app01,Application Server,92.02,18,Success,/backup/prod-app01/20250809_033430.bak,
2025-08-09,02:18:15,03:01:15,prod-app02,Application Server,101.8,43,Success,/backup/prod-app02/20250809_021815.bak,
2025-08-09,03:34:50,04:09:50,prod-web01,Web Server,32.68,35,Success,/backup/prod-web01/20250809_033450.bak,
2025-08-10,03:12:02,03:39:02,prod-db01,PostgreSQL Database,199.53,27,Success,/backup/prod-db01/20250810_031202.bak,
2025-08-10,03:55:52,04:36:52,prod-db02,MySQL Database,234.92,41,Success,/backup/prod-db02/20250810_035552.bak,
2025-08-10,03:23:34,04:01:34,prod-app01,Application Server,118.11,38,Success,/backup/prod-app01/20250810_032334.bak,
2025-08-10,03:45:27,04:14:27,prod-app02,Application Server,149.42,29,Success,/backup/prod-app02/20250810_034527.bak,
2025-08-10,02:43:57,03:00:57,prod-web01,Web Server,36.61,17,Success,/backup/prod-web01/20250810_024357.bak,
2025-08-11,02:43:01,03:16:01,prod-db01,PostgreSQL Database,212.5,33,Success,/backup/prod-db01/20250811_024301.bak,
2025-08-11,03:06:17,03:50:17,prod-db02,MySQL Database,266.17,44,Success,/backup/prod-db02/20250811_030617.bak,
2025-08-11,03:52:22,04:21:22,prod-app01,Application Server,98.97,29,Success,/backup/prod-app01/20250811_035222.bak,
2025-08-11,03:27:58,03:48:58,prod-app02,Application Server,141.71,21,Failed,/backup/prod-app02/20250811_032758.bak,Network timeout
2025-08-11,03:14:06,03:44:06,prod-web01,Web Server,50.88,30,Success,/backup/prod-web01/20250811_031406.bak,
2025-08-12,03:21:16,03:38:16,prod-db01,PostgreSQL Database,196.48,17,Success,/backup/prod-db01/20250812_032116.bak,
2025-08-12,03:58:44,04:24:44,prod-db02,MySQL Database,288.11,26,Success,/backup/prod-db02/20250812_035844.bak,
2025-08-12,02:34:19,03:07:19,prod-app01,Application Server,94.18,33,Success,/backup/prod-app01/20250812_023419.bak,
2025-08-12,03:15:10,03:32:10,prod-app02,Application Server,104.41,17,Success,/backup/prod-app02/20250812_031510.bak,
2025-08-12,02:06:04,02:23:04,prod-web01,Web Server,30.89,17,Success,/backup/prod-web01/20250812_020604.bak,
2025-08-13,03:02:36,03:21:36,prod-db01,PostgreSQL Database,232.82,19,Success,/backup/prod-db01/20250813_030236.bak,
2025-08-13,03:09:35,03:33:35,prod-db02,MySQL Database,222.06,24,Success,/backup/prod-db02/20250813_030935.bak,
2025-08-13,02:42:06,03:25:06,prod-app01,Application Server,116.74,43,Success,/backup/prod-app01/20250813_024206.bak,
2025-08-13,02:30:37,02:47:37,prod-app02,Application Server,141.07,17,Success,/backup/prod-app02/20250813_023037.bak,
2025-08-13,02:51:35,03:29:35,prod-web01,Web Server,31.64,38,Success,/backup/prod-web01/20250813_025135.bak,
2025-08-14,02:28:00,03:02:00,prod-db01,PostgreSQL Database,228.19,34,Success,/backup/prod-db01/20250814_022800.bak,
2025-08-14,03:00:47,03:19:47,prod-db02,MySQL Database,257.72,19,Success,/backup/prod-db02/20250814_030047.bak,
2025-08-14,03:35:09,04:05:09,prod-app01,Application Server,104.88,30,Success,/backup/prod-app01/20250814_033509.bak,
2025-08-14,02:06:14,02:23:14,prod-app02,Application Server,113.29,17,Success,/backup/prod-app02/20250814_020614.bak,
2025-08-14,03:17:43,03:54:43,prod-web01,Web Server,54.05,37,Success,/backup/prod-web01/20250814_031743.bak,
2025-08-15,02:10:38,02:43:38,prod-db01,PostgreSQL Database,197.04,33,Success,/backup/prod-db01/20250815_021038.bak,
2025-08-15,03:20:08,03:58:08,prod-db02,MySQL Database,297.01,38,Success,/backup/prod-db02/20250815_032008.bak,
2025-08-15,03:56:37,04:39:37,prod-app01,Application Server,126.65,43,Success,/backup/prod-app01/20250815_035637.bak,
2025-08-15,03:09:33,03:28:33,prod-app02,Application Server,90.16,19,Success,/backup/prod-app02/20250815_030933.bak,
2025-08-15,02:57:39,03:29:39,prod-web01,Web Server,35.59,32,Success,/backup/prod-web01/20250815_025739.bak,
2025-08-16,03:59:25,04:36:25,prod-db01,PostgreSQL Database,246.35,37,Success,/backup/prod-db01/20250816_035925.bak,
2025-08-16,02:25:50,03:09:50,prod-db02,MySQL Database,244.28,44,Success,/backup/prod-db02/20250816_022550.bak,
2025-08-16,03:23:46,03:48:46,prod-app01,Application Server,147.81,25,Success,/backup/prod-app01/20250816_032346.bak,
2025-08-16,03:52:13,04:22:13,prod-app02,Application Server,145.9,30,Success,/backup/prod-app02/20250816_035213.bak,
2025-08-16,03:23:22,04:06:22,prod-web01,Web Server,58.27,43,Success,/backup/prod-web01/20250816_032322.bak,
2025-08-17,02:08:20,02:47:20,prod-db01,PostgreSQL Database,171.89,39,Success,/backup/prod-db01/20250817_020820.bak,
2025-08-17,03:54:02,04:20:02,prod-db02,MySQL Database,259.08,26,Success,/backup/prod-db02/20250817_035402.bak,
2025-08-17,02:52:23,03:07:23,prod-app01,Application Server,119.94,15,Success,/backup/prod-app01/20250817_025223.bak,
2025-08-17,03:58:24,04:30:24,prod-app02,Application Server,116.95,32,Success,/backup/prod-app02/20250817_035824.bak,
2025-08-17,03:30:47,04:04:47,prod-web01,Web Server,59.91,34,Success,/backup/prod-web01/20250817_033047.bak,
2025-08-18,02:20:35,02:53:35,prod-db01,PostgreSQL Database,225.92,33,Success,/backup/prod-db01/20250818_022035.bak,
2025-08-18,03:11:01,03:44:01,prod-db02,MySQL Database,282.62,33,Success,/backup/prod-db02/20250818_031101.bak,
2025-08-18,02:46:50,03:10:50,prod-app01,Application Server,146.5,24,Failed,/backup/prod-app01/20250818_024650.bak,Database lock timeout
2025-08-18,03:04:47,03:35:47,prod-app02,Application Server,98.85,31,Success,/backup/prod-app02/20250818_030447.bak,
2025-08-18,02:58:47,03:37:47,prod-web01,Web Server,33.49,39,Success,/backup/prod-web01/20250818_025847.bak,
2025-08-19,03:35:25,04:01:25,prod-db01,PostgreSQL Database,179.8,26,Success,/backup/prod-db01/20250819_033525.bak,
2025-08-19,02:59:00,03:41:00,prod-db02,MySQL Database,272.19,42,Success,/backup/prod-db02/20250819_025900.bak,
2025-08-19,02:26:21,02:58:21,prod-app01,Application Server,84.68,32,Success,/backup/prod-app01/20250819_022621.bak,
2025-08-19,03:15:28,03:39:28,prod-app02,Application Server,105.77,24,Success,/backup/prod-app02/20250819_031528.bak,
2025-08-19,02:59:07,03:38:07,prod-web01,Web Server,34.02,39,Success,/backup/prod-web01/20250819_025907.bak,
2025-08-20,03:49:03,04:29:03,prod-db01,PostgreSQL Database,222.44,40,Success,/backup/prod-db01/20250820_034903.bak,
2025-08-20,03:17:35,03:49:35,prod-db02,MySQL Database,266.14,32,Success,/backup/prod-db02/20250820_031735.bak,
2025-08-20,03:26:10,03:56:10,prod-app01,Application Server,80.03,30,Success,/backup/prod-app01/20250820_032610.bak,
2025-08-20,02:46:39,03:11:39,prod-app02,Application Server,150.06,25,Success,/backup/prod-app02/20250820_024639.bak,
2025-08-20,03:03:39,03:25:39,prod-web01,Web Server,49.7,22,Success,/backup/prod-web01/20250820_030339.bak,
2025-08-21,03:10:52,03:43:52,prod-db01,PostgreSQL Database,245.36,33,Success,/backup/prod-db01/20250821_031052.bak,
2025-08-21,02:40:21,03:06:21,prod-db02,MySQL Database,241.48,26,Success,/backup/prod-db02/20250821_024021.bak,
2025-08-21,02:59:37,03:34:37,prod-app01,Application Server,95.98,35,Success,/backup/prod-app01/20250821_025937.bak,
2025-08-21,03:37:31,04:20:31,prod-app02,Application Server,107.18,43,Success,/backup/prod-app02/20250821_033731.bak,
2025-08-21,02:15:07,02:53:07,prod-web01,Web Server,35.76,38,Success,/backup/prod-web01/20250821_021507.bak,
2025-08-22,03:53:20,04:25:20,prod-db01,PostgreSQL Database,193.22,32,Success,/backup/prod-db01/20250822_035320.bak,
2025-08-22,02:01:19,02:38:19,prod-db02,MySQL Database,238.3,37,Success,/backup/prod-db02/20250822_020119.bak,
2025-08-22,02:26:09,02:46:09,prod-app01,Application Server,133.72,20,Success,/backup/prod-app01/20250822_022609.bak,
2025-08-22,02:49:59,03:22:59,prod-app02,Application Server,111.89,33,Success,/backup/prod-app02/20250822_024959.bak,
2025-08-22,03:13:37,03:56:37,prod-web01,Web Server,43.37,43,Success,/backup/prod-web01/20250822_031337.bak,
2025-08-23,02:43:44,02:59:44,prod-db01,PostgreSQL Database,225.38,16,Success,/backup/prod-db01/20250823_024344.bak,
2025-08-23,02:55:05,03:23:05,prod-db02,MySQL Database,296.64,28,Success,/backup/prod-db02/20250823_025505.bak,
2025-08-23,03:24:10,03:59:10,prod-app01,Application Server,144.7,35,Success,/backup/prod-app01/20250823_032410.bak,
2025-08-23,03:47:50,04:27:50,prod-app02,Application Server,110.85,40,Success,/backup/prod-app02/20250823_034750.bak,
2025-08-23,02:36:22,03:14:22,prod-web01,Web Server,36.83,38,Success,/backup/prod-web01/20250823_023622.bak,
2025-08-24,02:12:41,02:57:41,prod-db01,PostgreSQL Database,174.75,45,Success,/backup/prod-db01/20250824_021241.bak,
2025-08-24,03:21:31,03:50:31,prod-db02,MySQL Database,299.44,29,Success,/backup/prod-db02/20250824_032131.bak,
2025-08-24,03:50:18,04:12:18,prod-app01,Application Server,121.46,22,Success,/backup/prod-app01/20250824_035018.bak,
2025-08-24,02:57:21,03:37:21,prod-app02,Application Server,123.33,40,Success,/backup/prod-app02/20250824_025721.bak,
2025-08-24,02:54:24,03:29:24,prod-web01,Web Server,57.7,35,Success,/backup/prod-web01/20250824_025424.bak,
2025-08-25,03:56:25,04:32:25,prod-db01,PostgreSQL Database,230.92,36,Success,/backup/prod-db01/20250825_035625.bak,
2025-08-25,02:04:02,02:34:02,prod-db02,MySQL Database,291.95,30,Failed,/backup/prod-db02/20250825_020402.bak,Disk space insufficient
2025-08-25,02:12:53,02:53:53,prod-app01,Application Server,99.61,41,Success,/backup/prod-app01/20250825_021253.bak,
2025-08-25,02:22:47,03:02:47,prod-app02,Application Server,116.38,40,Success,/backup/prod-app02/20250825_022247.bak,
2025-08-25,03:49:30,04:33:30,prod-web01,Web Server,59.03,44,Success,/backup/prod-web01/20250825_034930.bak,
2025-08-26,02:01:09,02:16:09,prod-db01,PostgreSQL Database,157.7,15,Success,/backup/prod-db01/20250826_020109.bak,
2025-08-26,02:40:58,03:02:58,prod-db02,MySQL Database,223.27,22,Success,/backup/prod-db02/20250826_024058.bak,
2025-08-26,02:02:06,02:22:06,prod-app01,Application Server,103.04,20,Success,/backup/prod-app01/20250826_020206.bak,
2025-08-26,02:24:32,02:42:32,prod-app02,Application Server,114.48,18,Success,/backup/prod-app02/20250826_022432.bak,
2025-08-26,02:02:37,02:38:37,prod-web01,Web Server,51.11,36,Success,/backup/prod-web01/20250826_020237.bak,
2025-08-27,03:49:45,04:21:45,prod-db01,PostgreSQL Database,166.59,32,Success,/backup/prod-db01/20250827_034945.bak,
2025-08-27,03:58:13,04:25:13,prod-db02,MySQL Database,202.97,27,Success,/backup/prod-db02/20250827_035813.bak,
2025-08-27,03:02:42,03:25:42,prod-app01,Application Server,105.85,23,Success,/backup/prod-app01/20250827_030242.bak,
2025-08-27,02:09:46,02:41:46,prod-app02,Application Server,111.45,32,Success,/backup/prod-app02/20250827_020946.bak,
2025-08-27,02:15:53,02:50:53,prod-web01,Web Server,41.24,35,Success,/backup/prod-web01/20250827_021553.bak,
2025-08-28,02:36:18,03:10:18,prod-db01,PostgreSQL Database,197.89,34,Success,/backup/prod-db01/20250828_023618.bak,
2025-08-28,02:00:15,02:37:15,prod-db02,MySQL Database,215.64,37,Success,/backup/prod-db02/20250828_020015.bak,
2025-08-28,02:45:55,03:06:55,prod-app01,Application Server,104.82,21,Success,/backup/prod-app01/20250828_024555.bak,
2025-08-28,02:09:49,02:42:49,prod-app02,Application Server,121.88,33,Success,/backup/prod-app02/20250828_020949.bak,
2025-08-28,02:41:33,03:07:33,prod-web01,Web Server,53.66,26,Success,/backup/prod-web01/20250828_024133.bak,
2025-08-29,03:03:51,03:32:51,prod-db01,PostgreSQL Database,176.96,29,Success,/backup/prod-db01/20250829_030351.bak,
2025-08-29,02:04:09,02:20:09,prod-db02,MySQL Database,200.33,16,Success,/backup/prod-db02/20250829_020409.bak,
2025-08-29,02:39:04,02:54:04,prod-app01,Application Server,82.55,15,Success,/backup/prod-app01/20250829_023904.bak,
2025-08-29,03:07:34,03:44:34,prod-app02,Application Server,148.37,37,Success,/backup/prod-app02/20250829_030734.bak,
2025-08-29,02:18:26,02:36:26,prod-web01,Web Server,38.05,18,Success,/backup/prod-web01/20250829_021826.bak,
2025-08-30,02:42:07,03:04:07,prod-db01,PostgreSQL Database,209.68,22,Success,/backup/prod-db01/20250830_024207.bak,
2025-08-30,03:02:01,03:43:01,prod-db02,MySQL Database,299.24,41,Success,/backup/prod-db02/20250830_030201.bak,
2025-08-30,03:55:34,04:18:34,prod-app01,Application Server,107.33,23,Success,/backup/prod-app01/20250830_035534.bak,
2025-08-30,03:16:27,03:40:27,prod-app02,Application Server,113.83,24,Success,/backup/prod-app02/20250830_031627.bak,
2025-08-30,02:25:18,02:42:18,prod-web01,Web Server,34.71,17,Success,/backup/prod-web01/20250830_022518.bak,
2025-08-31,03:09:38,03:37:38,prod-db01,PostgreSQL Database,174.8,28,Success,/backup/prod-db01/20250831_030938.bak,
2025-08-31,02:36:02,03:05:02,prod-db02,MySQL Database,246.67,29,Success,/backup/prod-db02/20250831_023602.bak,
2025-08-31,02:16:40,02:51:40,prod-app01,Application Server,101.08,35,Success,/backup/prod-app01/20250831_021640.bak,
2025-08-31,03:42:12,04:12:12,prod-app02,Application Server,99.54,30,Success,/backup/prod-app02/20250831_034212.bak,
2025-08-31,02:56:11,03:16:11,prod-web01,Web Server,59.09,20,Success,/backup/prod-web01/20250831_025611.bak,
