タイムスタンプ,ユーザー名,操作種別,テーブル名,影響行数,実行時間(ms),接続元IP,セッションID
2025-06-02 19:27:47,analyst_user,SELECT,accounts,149,3545,192.168.8.84,SID69925
2025-06-02 20:57:35,batch_user,SELECT,departments,119,2282,192.168.7.109,SID27656
2025-06-02 21:10:55,admin_user,SELECT,employees,836,3167,192.168.2.47,SID12776
2025-06-02 21:11:24,admin_user,SELECT,employees,108,795,192.168.1.190,SID49374
2025-06-02 21:43:32,analyst_user,SELECT,order_details,140,914,192.168.5.182,SID55467
2025-06-03 01:05:56,admin_user,SELECT,customer_master,806,1894,192.168.2.250,SID10376
2025-06-03 01:45:48,admin_user,SELECT,payments,366,2437,192.168.2.143,SID79168
2025-06-03 01:47:41,batch_user,SELECT,orders,412,4815,192.168.4.1,SID40571
2025-06-03 02:14:38,report_user,SELECT,inventory,264,3611,192.168.4.35,SID21836
2025-06-03 02:43:25,report_user,SELECT,product_master,1000,39,192.168.6.62,SID25982
2025-06-03 02:49:00,batch_user,INSERT,orders,76,615,192.168.8.179,SID37191
2025-06-03 02:51:47,app_user,SELECT,accounts,268,2919,192.168.4.37,SID52696
2025-06-03 06:57:17,app_user,SELECT,customer_master,665,4110,192.168.6.72,SID57404
2025-06-03 07:26:27,analyst_user,SELECT,payments,92,3397,192.168.5.155,SID64365
2025-06-03 09:06:24,app_user,UPDATE,accounts,26,597,192.168.5.4,SID27030
2025-06-03 14:56:52,admin_user,UPDATE,departments,7,4298,192.168.1.208,SID46502
2025-06-03 16:15:46,report_user,INSERT,employees,20,3800,192.168.5.164,SID91722
2025-06-03 17:07:31,app_user,SELECT,product_master,482,683,192.168.9.64,SID53930
2025-06-03 19:10:25,report_user,SELECT,customer_master,700,3975,192.168.9.238,SID42515
2025-06-03 19:15:28,admin_user,INSERT,product_master,67,534,192.168.9.20,SID88233
2025-06-03 19:28:14,report_user,UPDATE,customer_master,35,218,192.168.9.14,SID15081
2025-06-03 19:31:14,batch_user,INSERT,departments,1,1809,192.168.10.89,SID59924
2025-06-03 21:10:56,batch_user,SELECT,payments,763,2566,192.168.9.164,SID97871
2025-06-03 23:25:54,batch_user,INSERT,departments,86,2518,192.168.10.147,SID33659
2025-06-03 23:47:22,app_user,SELECT,sales_transactions,301,2215,192.168.9.18,SID32886
2025-06-04 00:06:27,report_user,SELECT,accounts,483,4897,192.168.5.228,SID42539
2025-06-04 00:37:22,admin_user,SELECT,payments,342,2486,192.168.4.28,SID22554
2025-06-04 01:31:58,batch_user,SELECT,customer_master,450,3470,192.168.3.135,SID77329
2025-06-04 03:39:27,app_user,SELECT,accounts,141,3677,192.168.7.129,SID66607
2025-06-04 05:03:33,app_user,SELECT,orders,111,1310,192.168.3.38,SID89694
2025-06-04 05:38:55,batch_user,SELECT,inventory,429,2495,192.168.5.217,SID69622
2025-06-04 05:40:18,report_user,UPDATE,order_details,49,2569,192.168.7.86,SID52658
2025-06-04 05:59:28,app_user,SELECT,orders,598,2674,192.168.4.179,SID41739
2025-06-04 06:09:34,batch_user,SELECT,employees,219,4096,192.168.6.24,SID45906
2025-06-04 06:21:02,report_user,DELETE,accounts,2,4197,192.168.6.24,SID28391
2025-06-04 06:23:41,app_user,INSERT,departments,48,25,192.168.6.55,SID20448
2025-06-04 07:24:28,batch_user,SELECT,departments,702,3195,192.168.3.131,SID65573
2025-06-04 07:39:29,report_user,SELECT,orders,661,924,192.168.2.205,SID30889
2025-06-04 08:04:07,batch_user,SELECT,product_master,407,4307,192.168.4.11,SID19058
2025-06-04 10:49:22,admin_user,SELECT,inventory,618,4901,192.168.2.90,SID22798
2025-06-04 10:54:32,report_user,SELECT,sales_transactions,687,2077,192.168.5.155,SID33429
2025-06-04 12:54:51,batch_user,INSERT,inventory,98,1486,192.168.2.112,SID38091
2025-06-04 13:35:27,admin_user,DELETE,product_master,1,1435,192.168.1.58,SID80592
2025-06-04 14:40:53,report_user,SELECT,payments,341,4067,192.168.8.23,SID67514
2025-06-04 17:42:18,report_user,SELECT,payments,288,4712,192.168.5.21,SID91529
2025-06-04 18:24:13,batch_user,SELECT,accounts,799,3292,192.168.6.38,SID64970
2025-06-04 20:28:51,batch_user,SELECT,departments,315,16,192.168.7.187,SID10370
2025-06-04 21:52:03,admin_user,SELECT,inventory,560,2594,192.168.3.184,SID70543
2025-06-04 23:06:25,report_user,SELECT,inventory,536,1272,192.168.6.143,SID30163
2025-06-04 23:54:05,app_user,SELECT,employees,58,1624,192.168.2.13,SID54091
2025-06-05 01:44:46,analyst_user,SELECT,inventory,280,2094,192.168.9.195,SID68158
2025-06-05 02:02:32,app_user,SELECT,accounts,636,750,192.168.7.132,SID39842
2025-06-05 02:14:48,report_user,INSERT,departments,87,2727,192.168.6.206,SID62646
2025-06-05 03:31:34,admin_user,UPDATE,payments,37,2040,192.168.8.147,SID50364
2025-06-05 04:14:22,admin_user,SELECT,payments,693,3341,192.168.6.132,SID95313
2025-06-05 04:54:51,batch_user,SELECT,sales_transactions,169,2587,192.168.5.41,SID90319
2025-06-05 05:56:48,analyst_user,INSERT,payments,38,1578,192.168.5.253,SID90828
2025-06-05 06:01:48,admin_user,DELETE,product_master,1,1146,192.168.2.196,SID83643
2025-06-05 07:57:30,batch_user,UPDATE,customer_master,6,2344,192.168.9.28,SID32036
2025-06-05 08:32:50,app_user,SELECT,accounts,182,3730,192.168.10.226,SID40388
2025-06-05 09:23:29,batch_user,INSERT,employees,23,3506,192.168.1.19,SID26091
2025-06-05 10:22:51,batch_user,UPDATE,inventory,11,2577,192.168.10.204,SID92531
2025-06-05 11:30:40,admin_user,INSERT,product_master,93,867,192.168.8.196,SID28096
2025-06-05 12:13:08,admin_user,SELECT,employees,91,2435,192.168.10.245,SID57202
2025-06-05 12:27:07,report_user,DELETE,product_master,1,4708,192.168.2.213,SID52550
2025-06-05 12:28:58,batch_user,SELECT,accounts,15,4638,192.168.1.20,SID17137
2025-06-05 12:53:40,app_user,DELETE,sales_transactions,6,2891,192.168.6.37,SID55679
2025-06-05 13:34:21,admin_user,DELETE,orders,2,2473,192.168.3.215,SID75627
2025-06-05 14:14:53,batch_user,SELECT,orders,211,2478,192.168.10.94,SID94929
2025-06-05 15:41:31,analyst_user,SELECT,orders,880,4999,192.168.9.93,SID94751
2025-06-05 16:49:59,admin_user,SELECT,product_master,197,3097,192.168.6.129,SID33293
2025-06-05 17:27:54,app_user,UPDATE,sales_transactions,3,46,192.168.1.206,SID82987
2025-06-05 18:25:10,report_user,INSERT,employees,63,3431,192.168.4.77,SID16493
2025-06-05 20:30:13,app_user,SELECT,inventory,527,2794,192.168.9.8,SID91734
2025-06-05 20:42:39,batch_user,INSERT,sales_transactions,4,2648,192.168.5.215,SID43883
2025-06-05 21:53:29,analyst_user,SELECT,customer_master,303,1118,192.168.6.243,SID38600
2025-06-05 22:31:56,report_user,SELECT,customer_master,536,408,192.168.4.66,SID22198
2025-06-05 23:06:48,report_user,INSERT,customer_master,89,2044,192.168.9.153,SID96418
2025-06-06 01:07:07,admin_user,UPDATE,customer_master,23,934,192.168.3.168,SID46694
2025-06-06 02:40:44,report_user,SELECT,payments,304,3599,192.168.5.30,SID12608
2025-06-06 03:10:53,app_user,SELECT,employees,702,4249,192.168.6.202,SID57819
2025-06-06 03:34:55,batch_user,SELECT,customer_master,952,399,192.168.6.181,SID70313
2025-06-06 04:21:07,batch_user,SELECT,order_details,870,717,192.168.4.97,SID40607
2025-06-06 05:04:25,batch_user,SELECT,orders,510,4529,192.168.8.228,SID95762
2025-06-06 07:04:16,admin_user,UPDATE,orders,30,2076,192.168.7.166,SID98063
2025-06-06 08:56:51,admin_user,DELETE,accounts,10,3987,192.168.8.39,SID98313
2025-06-06 09:52:44,analyst_user,SELECT,customer_master,291,1914,192.168.6.4,SID41892
2025-06-06 10:02:53,admin_user,SELECT,orders,1000,2376,192.168.8.8,SID62778
2025-06-06 10:31:29,report_user,INSERT,inventory,29,2173,192.168.2.40,SID17062
2025-06-06 11:49:25,report_user,INSERT,sales_transactions,69,625,192.168.9.148,SID56179
2025-06-06 13:17:56,batch_user,DELETE,product_master,5,2255,192.168.10.69,SID78438
2025-06-06 15:04:57,admin_user,INSERT,orders,40,566,192.168.6.15,SID46229
2025-06-06 15:21:31,report_user,SELECT,departments,437,2746,192.168.6.104,SID63799
2025-06-06 17:34:28,admin_user,SELECT,departments,402,2970,192.168.6.154,SID31657
2025-06-06 17:41:47,report_user,SELECT,customer_master,745,52,192.168.7.30,SID25828
2025-06-06 18:32:20,analyst_user,SELECT,payments,442,4125,192.168.2.122,SID49469
2025-06-06 18:38:01,batch_user,SELECT,employees,115,2624,192.168.10.43,SID19307
2025-06-06 19:13:32,report_user,DELETE,order_details,3,3432,192.168.5.17,SID63570
2025-06-06 19:32:16,analyst_user,SELECT,customer_master,491,1193,192.168.4.49,SID55870
2025-06-06 19:47:36,app_user,SELECT,departments,680,1392,192.168.2.43,SID22680
2025-06-06 20:00:38,analyst_user,SELECT,sales_transactions,518,1268,192.168.5.132,SID57669
2025-06-06 20:49:44,batch_user,SELECT,inventory,951,3445,192.168.3.57,SID70020
2025-06-06 21:18:05,report_user,SELECT,employees,549,1847,192.168.8.156,SID39741
2025-06-06 22:04:33,report_user,INSERT,customer_master,53,330,192.168.6.165,SID73912
2025-06-07 00:47:58,admin_user,SELECT,order_details,126,3375,192.168.8.218,SID61927
2025-06-07 01:36:43,analyst_user,SELECT,orders,109,2059,192.168.5.190,SID28386
2025-06-07 02:38:36,app_user,SELECT,product_master,822,2877,192.168.10.174,SID84166
2025-06-07 03:10:21,batch_user,INSERT,payments,76,2154,192.168.8.78,SID76402
2025-06-07 03:32:49,batch_user,SELECT,product_master,772,42,192.168.10.84,SID55005
2025-06-07 03:55:05,batch_user,INSERT,accounts,65,2849,192.168.6.172,SID68320
2025-06-07 07:52:49,batch_user,INSERT,product_master,10,4882,192.168.2.26,SID83324
2025-06-07 09:45:21,batch_user,UPDATE,payments,41,586,192.168.5.160,SID77990
2025-06-07 09:56:56,admin_user,INSERT,employees,14,2366,192.168.10.93,SID53451
2025-06-07 10:35:26,app_user,SELECT,orders,144,752,192.168.5.145,SID90906
2025-06-07 10:57:49,admin_user,SELECT,inventory,643,3782,192.168.6.148,SID62053
2025-06-07 11:06:13,report_user,SELECT,sales_transactions,854,2077,192.168.6.177,SID79108
2025-06-07 11:33:32,analyst_user,UPDATE,departments,8,856,192.168.5.43,SID82941
2025-06-07 11:52:15,report_user,SELECT,departments,30,1247,192.168.8.101,SID80791
2025-06-07 12:25:29,app_user,SELECT,employees,354,1,192.168.8.157,SID19089
2025-06-07 13:40:39,analyst_user,SELECT,departments,48,2616,192.168.2.86,SID60991
2025-06-07 15:09:45,app_user,SELECT,employees,137,4530,192.168.7.180,SID71134
2025-06-07 15:32:05,app_user,SELECT,sales_transactions,617,3661,192.168.2.54,SID48680
2025-06-07 18:19:39,app_user,SELECT,order_details,250,4063,192.168.5.223,SID88007
2025-06-07 18:20:26,analyst_user,SELECT,sales_transactions,801,2577,192.168.6.100,SID49795
2025-06-07 21:36:11,batch_user,INSERT,orders,92,4479,192.168.6.43,SID69958
2025-06-07 21:45:01,analyst_user,SELECT,payments,823,4747,192.168.3.179,SID56578
2025-06-07 22:55:59,analyst_user,SELECT,order_details,772,3317,192.168.8.57,SID43730
2025-06-07 23:07:14,batch_user,UPDATE,customer_master,48,3286,192.168.8.215,SID82534
2025-06-07 23:33:11,batch_user,SELECT,inventory,263,4189,192.168.2.35,SID12877
2025-06-08 00:35:44,analyst_user,SELECT,customer_master,212,458,192.168.10.202,SID80760
2025-06-08 01:01:05,analyst_user,INSERT,accounts,11,3919,192.168.10.225,SID86079
2025-06-08 01:08:11,report_user,SELECT,accounts,649,4404,192.168.1.179,SID82161
2025-06-08 02:24:43,admin_user,SELECT,payments,268,1773,192.168.7.213,SID12738
2025-06-08 03:54:15,app_user,SELECT,sales_transactions,636,3066,192.168.9.50,SID57745
2025-06-08 05:17:08,app_user,SELECT,employees,199,2276,192.168.8.86,SID61447
2025-06-08 06:10:41,report_user,SELECT,sales_transactions,271,3480,192.168.10.54,SID29526
2025-06-08 06:13:05,admin_user,SELECT,accounts,953,1426,192.168.9.243,SID33328
2025-06-08 06:28:44,analyst_user,SELECT,orders,465,26,192.168.7.217,SID96234
2025-06-08 07:03:25,admin_user,SELECT,customer_master,288,259,192.168.6.150,SID57647
2025-06-08 07:45:24,report_user,INSERT,accounts,14,1733,192.168.6.96,SID27937
2025-06-08 08:13:13,admin_user,SELECT,employees,651,2688,192.168.1.40,SID50751
2025-06-08 08:47:27,report_user,SELECT,accounts,820,3986,192.168.9.179,SID17250
2025-06-08 09:53:04,analyst_user,SELECT,accounts,183,3120,192.168.10.148,SID60609
2025-06-08 10:06:25,app_user,SELECT,inventory,274,4028,192.168.4.97,SID73732
2025-06-08 10:10:37,batch_user,SELECT,order_details,685,2402,192.168.9.156,SID29513
2025-06-08 11:13:50,admin_user,SELECT,accounts,486,3096,192.168.4.200,SID81067
2025-06-08 11:29:05,app_user,SELECT,sales_transactions,724,470,192.168.6.163,SID73657
2025-06-08 11:44:38,report_user,SELECT,orders,802,4666,192.168.4.207,SID36306
2025-06-08 11:55:05,report_user,SELECT,order_details,704,1239,192.168.1.32,SID55770
2025-06-08 12:04:26,batch_user,SELECT,accounts,963,4656,192.168.8.14,SID63066
2025-06-08 12:38:51,admin_user,UPDATE,orders,46,4547,192.168.8.177,SID70834
2025-06-08 14:04:39,analyst_user,INSERT,payments,52,2408,192.168.3.253,SID83510
2025-06-08 14:15:03,batch_user,SELECT,employees,444,2458,192.168.4.229,SID94121
2025-06-08 15:45:46,app_user,SELECT,departments,112,310,192.168.8.130,SID27382
2025-06-08 17:07:26,admin_user,SELECT,employees,273,522,192.168.9.236,SID50106
2025-06-08 18:22:10,batch_user,INSERT,departments,43,1400,192.168.4.148,SID64271
2025-06-08 18:24:39,admin_user,SELECT,customer_master,63,4970,192.168.7.209,SID96651
2025-06-08 18:26:13,app_user,SELECT,orders,510,2646,192.168.4.70,SID50557
2025-06-08 18:33:08,app_user,SELECT,departments,249,2688,192.168.9.110,SID64902
2025-06-08 18:41:15,report_user,SELECT,product_master,332,2889,192.168.8.64,SID53840
2025-06-08 19:05:49,app_user,SELECT,employees,576,3907,192.168.8.140,SID32521
2025-06-08 19:30:32,admin_user,DELETE,sales_transactions,1,2250,192.168.3.197,SID15338
2025-06-08 20:32:46,report_user,SELECT,product_master,769,337,192.168.10.19,SID34868
2025-06-08 21:13:06,analyst_user,UPDATE,inventory,31,3221,192.168.6.217,SID64955
2025-06-08 23:04:31,admin_user,DELETE,orders,1,3797,192.168.5.176,SID75432
2025-06-08 23:09:12,admin_user,SELECT,payments,497,3025,192.168.3.234,SID36094
2025-06-09 00:22:01,report_user,SELECT,accounts,564,3932,192.168.9.122,SID35014
2025-06-09 02:18:39,admin_user,UPDATE,customer_master,32,3369,192.168.8.113,SID94839
2025-06-09 03:29:59,batch_user,SELECT,employees,713,4079,192.168.6.150,SID68111
2025-06-09 03:37:08,analyst_user,SELECT,orders,767,1708,192.168.10.215,SID98710
2025-06-09 04:01:00,report_user,SELECT,product_master,973,2426,192.168.3.77,SID98429
2025-06-09 04:12:20,batch_user,INSERT,customer_master,57,2213,192.168.8.246,SID57195
2025-06-09 04:26:00,admin_user,SELECT,employees,838,3007,192.168.3.225,SID98507
2025-06-09 04:37:07,analyst_user,SELECT,payments,53,938,192.168.4.30,SID41039
2025-06-09 05:03:20,admin_user,SELECT,inventory,150,1441,192.168.10.125,SID39992
2025-06-09 05:17:42,admin_user,SELECT,inventory,490,2273,192.168.9.164,SID43309
2025-06-09 07:57:06,report_user,DELETE,order_details,10,561,192.168.6.188,SID43538
2025-06-09 08:06:13,batch_user,SELECT,order_details,690,4657,192.168.1.98,SID80435
2025-06-09 10:20:23,batch_user,SELECT,customer_master,565,478,192.168.5.126,SID98558
2025-06-09 13:21:37,report_user,SELECT,order_details,178,1345,192.168.2.37,SID73963
2025-06-09 13:31:37,report_user,SELECT,accounts,765,756,192.168.5.183,SID72804
2025-06-09 13:37:11,report_user,SELECT,product_master,321,3798,192.168.3.63,SID84480
2025-06-09 13:40:05,analyst_user,INSERT,order_details,16,3712,192.168.4.73,SID81979
2025-06-09 14:42:06,report_user,DELETE,orders,6,868,192.168.2.199,SID99990
2025-06-09 14:52:42,report_user,SELECT,customer_master,66,4146,192.168.5.117,SID61650
2025-06-09 15:59:51,app_user,SELECT,sales_transactions,516,2700,192.168.8.39,SID90987
2025-06-09 16:02:31,batch_user,DELETE,orders,6,2683,192.168.6.91,SID84014
2025-06-09 17:47:15,batch_user,UPDATE,orders,29,4783,192.168.5.124,SID68732
2025-06-09 19:58:35,analyst_user,INSERT,departments,16,1405,192.168.3.208,SID85873
2025-06-09 20:34:02,app_user,SELECT,inventory,787,998,192.168.9.43,SID83826
2025-06-09 20:55:37,batch_user,SELECT,payments,809,2497,192.168.7.110,SID67709
2025-06-09 21:46:48,batch_user,SELECT,product_master,23,2297,192.168.5.237,SID69458
2025-06-09 22:40:51,batch_user,SELECT,employees,345,2033,192.168.10.220,SID21739
2025-06-09 22:41:03,analyst_user,SELECT,order_details,483,932,192.168.8.99,SID68721
2025-06-09 23:09:01,report_user,INSERT,inventory,63,3722,192.168.4.191,SID40474
2025-06-10 00:10:00,app_user,SELECT,order_details,214,346,192.168.10.16,SID76953
2025-06-10 01:16:16,admin_user,DELETE,order_details,9,4284,192.168.6.2,SID84232
2025-06-10 03:19:19,admin_user,SELECT,orders,103,4820,192.168.5.3,SID59931
2025-06-10 03:38:19,report_user,SELECT,accounts,143,2370,192.168.2.11,SID13608
2025-06-10 04:02:29,app_user,SELECT,payments,999,658,192.168.8.201,SID23058
2025-06-10 04:17:28,report_user,INSERT,departments,10,1835,192.168.2.32,SID92701
2025-06-10 04:19:33,batch_user,SELECT,inventory,846,3499,192.168.8.234,SID30528
2025-06-10 04:20:55,analyst_user,SELECT,orders,955,2374,192.168.2.222,SID58607
2025-06-10 06:39:49,analyst_user,SELECT,order_details,680,1719,192.168.7.202,SID46337
2025-06-10 08:31:08,report_user,SELECT,departments,840,4237,192.168.2.197,SID45570
2025-06-10 08:49:32,report_user,INSERT,order_details,78,3861,192.168.3.169,SID70533
2025-06-10 09:42:54,app_user,SELECT,employees,314,1463,192.168.4.4,SID60265
2025-06-10 12:26:38,batch_user,SELECT,employees,26,4413,192.168.9.238,SID46084
2025-06-10 12:30:28,batch_user,SELECT,employees,946,4924,192.168.2.222,SID60749
2025-06-10 15:08:54,analyst_user,INSERT,customer_master,73,713,192.168.8.251,SID81946
2025-06-10 15:24:26,admin_user,SELECT,departments,127,4137,192.168.8.141,SID66380
2025-06-10 15:48:52,analyst_user,UPDATE,inventory,25,141,192.168.4.123,SID35235
2025-06-10 16:01:59,app_user,SELECT,customer_master,818,2803,192.168.2.46,SID96481
2025-06-10 16:25:32,batch_user,SELECT,customer_master,301,1177,192.168.6.95,SID91692
2025-06-10 17:10:02,admin_user,UPDATE,accounts,44,3960,192.168.3.62,SID34171
2025-06-10 18:02:42,batch_user,SELECT,employees,104,1462,192.168.1.24,SID77000
2025-06-10 19:08:12,batch_user,SELECT,payments,92,3181,192.168.9.215,SID53314
2025-06-10 20:41:14,batch_user,UPDATE,sales_transactions,3,3539,192.168.6.133,SID21646
2025-06-10 22:47:37,report_user,SELECT,customer_master,22,2732,192.168.7.168,SID71703
2025-06-11 02:13:16,batch_user,SELECT,product_master,499,636,192.168.10.135,SID89346
2025-06-11 03:30:27,analyst_user,UPDATE,customer_master,3,212,192.168.1.196,SID35627
2025-06-11 03:59:31,report_user,SELECT,employees,334,3353,192.168.1.193,SID31734
2025-06-11 05:26:34,admin_user,SELECT,customer_master,113,4558,192.168.7.227,SID19531
2025-06-11 05:40:51,admin_user,SELECT,product_master,544,2137,192.168.3.88,SID84897
2025-06-11 06:18:00,app_user,INSERT,employees,47,4929,192.168.8.221,SID39275
2025-06-11 07:06:44,admin_user,SELECT,inventory,793,2212,192.168.5.107,SID70263
2025-06-11 09:26:15,admin_user,DELETE,customer_master,10,3181,192.168.8.155,SID61889
2025-06-11 09:59:59,admin_user,SELECT,orders,212,1715,192.168.1.79,SID85793
2025-06-11 11:15:21,batch_user,SELECT,payments,870,885,192.168.5.187,SID46546
2025-06-11 12:44:50,analyst_user,SELECT,sales_transactions,798,2900,192.168.10.21,SID53427
2025-06-11 13:42:31,batch_user,INSERT,product_master,59,1161,192.168.1.220,SID44433
2025-06-11 14:59:01,admin_user,UPDATE,order_details,31,1558,192.168.7.164,SID60855
2025-06-11 17:31:14,batch_user,SELECT,departments,673,4637,192.168.9.94,SID46033
2025-06-11 18:26:53,analyst_user,SELECT,customer_master,624,254,192.168.7.17,SID22520
2025-06-11 18:59:41,report_user,SELECT,product_master,829,4292,192.168.4.163,SID12131
2025-06-11 19:01:54,analyst_user,SELECT,accounts,647,2575,192.168.1.226,SID96534
2025-06-11 19:57:38,admin_user,SELECT,customer_master,529,1346,192.168.6.175,SID48790
2025-06-11 20:39:29,analyst_user,SELECT,accounts,163,3645,192.168.6.253,SID80590
2025-06-11 21:54:53,report_user,UPDATE,payments,5,2833,192.168.7.34,SID90392
2025-06-11 22:50:41,report_user,SELECT,inventory,5,3219,192.168.5.232,SID13841
2025-06-12 00:08:45,analyst_user,SELECT,inventory,503,1562,192.168.5.160,SID31012
2025-06-12 00:26:19,batch_user,UPDATE,accounts,22,4875,192.168.3.53,SID77767
2025-06-12 01:14:16,admin_user,SELECT,product_master,755,1587,192.168.7.176,SID56974
2025-06-12 02:08:35,app_user,SELECT,employees,704,2197,192.168.4.110,SID85135
2025-06-12 03:09:06,analyst_user,INSERT,departments,60,1802,192.168.6.47,SID36637
2025-06-12 05:28:22,batch_user,SELECT,order_details,38,731,192.168.4.181,SID12527
2025-06-12 06:38:45,admin_user,SELECT,payments,437,647,192.168.5.124,SID52371
2025-06-12 06:44:35,report_user,SELECT,customer_master,694,2654,192.168.8.159,SID54773
2025-06-12 06:47:01,app_user,SELECT,order_details,332,1427,192.168.10.12,SID69166
2025-06-12 11:27:00,report_user,SELECT,orders,517,1905,192.168.3.169,SID34107
2025-06-12 12:42:10,batch_user,INSERT,customer_master,4,1998,192.168.2.20,SID81574
2025-06-12 12:56:46,analyst_user,SELECT,orders,466,505,192.168.1.105,SID97796
2025-06-12 13:39:15,batch_user,SELECT,accounts,937,2035,192.168.6.165,SID20595
2025-06-12 13:43:18,report_user,SELECT,payments,235,3644,192.168.7.53,SID15406
2025-06-12 14:34:57,admin_user,SELECT,sales_transactions,242,2200,192.168.5.62,SID94356
2025-06-12 14:48:00,batch_user,DELETE,order_details,9,2253,192.168.1.126,SID62700
2025-06-12 16:27:24,analyst_user,SELECT,orders,496,3859,192.168.8.98,SID65276
2025-06-12 16:27:54,report_user,SELECT,accounts,979,4151,192.168.4.180,SID60407
2025-06-12 17:00:04,batch_user,SELECT,employees,771,1481,192.168.8.200,SID23620
2025-06-12 17:40:21,report_user,SELECT,employees,421,520,192.168.3.79,SID44925
2025-06-12 18:20:13,report_user,SELECT,order_details,435,4115,192.168.8.237,SID51668
2025-06-12 20:03:06,batch_user,INSERT,orders,27,2223,192.168.8.153,SID89524
2025-06-12 20:23:36,app_user,SELECT,inventory,366,2336,192.168.2.200,SID79256
2025-06-12 20:30:03,analyst_user,SELECT,inventory,125,4787,192.168.2.51,SID42195
2025-06-12 20:39:03,batch_user,SELECT,departments,507,3319,192.168.2.8,SID71595
2025-06-12 20:59:20,analyst_user,UPDATE,accounts,15,3426,192.168.6.123,SID37607
2025-06-12 21:10:14,admin_user,SELECT,sales_transactions,449,268,192.168.7.154,SID32674
2025-06-12 21:29:41,app_user,SELECT,departments,672,453,192.168.3.62,SID10109
2025-06-12 22:04:35,analyst_user,SELECT,orders,43,4218,192.168.9.137,SID73023
2025-06-12 22:08:56,admin_user,INSERT,payments,66,2135,192.168.10.185,SID81611
2025-06-12 22:21:11,app_user,SELECT,product_master,765,531,192.168.10.185,SID74544
2025-06-12 22:37:00,report_user,SELECT,inventory,549,4095,192.168.3.31,SID11130
2025-06-12 22:58:52,app_user,SELECT,orders,839,3071,192.168.8.118,SID84042
